alias_key,canonical_key,reason
aeronshikii,aeronnshikii,same_team_role_adjacent_seasons
albertt,alberttt,same_player_career_continuity
azuraa,azura,same_team_role_adjacent_seasons
emann,emannn,same_team_role_career_continuity
haiz,haizz,same_player_career_continuity
kyou,kyouu,same_team_role_adjacent_seasons
maxx,maxxx,same_team_role_career_continuity
moreno,morenooo,same_team_role_career_continuity
morenoo,morenooo,same_team_role_career_continuity
muezzaa,muezza,same_team_role_adjacent_seasons
schwannn,schwann,same_team_career_continuity
val,vall,same_franchise_career_continuity
clay,clayyy,same_team_role_career_continuity
gugunnn,gugun,same_team_role_adjacent_seasons
lutpiii,lutpi,same_team_role_career_continuity
markyyyyy,markyyy,same_team_role_adjacent_seasons
maybe,maybeee,same_team_role_adjacent_seasons
xin,xinnn,same_player_career_continuity

