season,match_id,game_number,team,action,order,hero,source
10,S10-RS-001,1,Geek Fam ID,ban,1,Ling,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_10/Regular_Season | https://github.com/LiTianYeoh/MLBB_Tournament_Analysis/blob/94ea36800e80c9e89a2356a0b81d3eeafbd6a4f7/analysis/data/consolidated_game_data_20240505.csv
10,S10-RS-001,1,Geek Fam ID,ban,2,Julian,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_10/Regular_Season | https://github.com/LiTianYeoh/MLBB_Tournament_Analysis/blob/94ea36800e80c9e89a2356a0b81d3eeafbd6a4f7/analysis/data/consolidated_game_data_20240505.csv
10,S10-RS-001,1,Geek Fam ID,ban,3,Faramis,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_10/Regular_Season | https://github.com/LiTianYeoh/MLBB_Tournament_Analysis/blob/94ea36800e80c9e89a2356a0b81d3eeafbd6a4f7/analysis/data/consolidated_game_data_20240505.csv
10,S10-RS-001,1,Geek Fam ID,ban,4,Dyrroth,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_10/Regular_Season | https://github.com/LiTianYeoh/MLBB_Tournament_Analysis/blob/94ea36800e80c9e89a2356a0b81d3eeafbd6a4f7/analysis/data/consolidated_game_data_20240505.csv
10,S10-RS-001,1,Geek Fam ID,ban,5,Masha,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_10/Regular_Season | https://github.com/LiTianYeoh/MLBB_Tournament_Analysis/blob/94ea36800e80c9e89a2356a0b81d3eeafbd6a4f7/analysis/data/consolidated_game_data_20240505.csv
10,S10-RS-001,1,Geek Fam ID,pick,1,Esmeralda,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_10/Regular_Season | https://github.com/LiTianYeoh/MLBB_Tournament_Analysis/blob/94ea36800e80c9e89a2356a0b81d3eeafbd6a4f7/analysis/data/consolidated_game_data_20240505.csv
10,S10-RS-001,1,Geek Fam ID,pick,2,Karina,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_10/Regular_Season | https://github.com/LiTianYeoh/MLBB_Tournament_Analysis/blob/94ea36800e80c9e89a2356a0b81d3eeafbd6a4f7/analysis/data/consolidated_game_data_20240505.csv
10,S10-RS-001,1,Geek Fam ID,pick,3,Kagura,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_10/Regular_Season | https://github.com/LiTianYeoh/MLBB_Tournament_Analysis/blob/94ea36800e80c9e89a2356a0b81d3eeafbd6a4f7/analysis/data/consolidated_game_data_20240505.csv
10,S10-RS-001,1,Geek Fam ID,pick,4,Wanwan,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_10/Regular_Season | https://github.com/LiTianYeoh/MLBB_Tournament_Analysis/blob/94ea36800e80c9e89a2356a0b81d3eeafbd6a4f7/analysis/data/consolidated_game_data_20240505.csv
10,S10-RS-001,1,Geek Fam ID,pick,5,Franco,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_10/Regular_Season | https://github.com/LiTianYeoh/MLBB_Tournament_Analysis/blob/94ea36800e80c9e89a2356a0b81d3eeafbd6a4f7/analysis/data/consolidated_game_data_20240505.csv
