season,team,player,role,stat_scope,snapshot_label,snapshot_date,ranking,games_played,win_rate_pct,total_kills,avg_kills,total_deaths,avg_deaths,total_assists,avg_assists,avg_kda,kill_participation_pct,mvp_points,signature_hero,signature_hero_games,signature_hero_win_rate_pct,damage_taken_per_game,damage_taken_per_minute,coverage_status,source
10,ONIC Esports,Kairi,Jungler,regular_season_snapshot,Through Week 5,2022-09-13,1,24,,65,2.71,30,1.25,116,4.83,6.03,21,,,,,,,all_published_junglers_week_5,https://www.oneesports.gg/mobile-legends/stats-kairi-best-jungler-mpl-id/
10,Geek Fam ID,Janaaqt,Jungler,regular_season_snapshot,Through Week 5,2022-09-13,2,14,,44,3.14,21,1.5,59,4.21,4.9,20,,,,,,,all_published_junglers_week_5,https://www.oneesports.gg/mobile-legends/stats-kairi-best-jungler-mpl-id/
10,RRQ Hoshi,Alberttt,Jungler,regular_season_snapshot,Through Week 5,2022-09-13,3,22,,53,2.41,36,1.64,92,4.18,4.03,18,,,,,,,all_published_junglers_week_5,https://www.oneesports.gg/mobile-legends/stats-kairi-best-jungler-mpl-id/
10,EVOS Legends,Sutsujin,Jungler,regular_season_snapshot,Through Week 5,2022-09-13,4,15,,38,2.53,29,1.93,74,4.93,3.86,21,,,,,,,all_published_junglers_week_5,https://www.oneesports.gg/mobile-legends/stats-kairi-best-jungler-mpl-id/
10,Alter Ego,Celiboy,Jungler,regular_season_snapshot,Through Week 5,2022-09-13,5,19,,68,3.58,36,1.89,67,3.53,3.75,21,,,,,,,all_published_junglers_week_5,https://www.oneesports.gg/mobile-legends/stats-kairi-best-jungler-mpl-id/
10,AURA Fire,H i g h,Jungler,regular_season_snapshot,Through Week 5,2022-09-13,6,25,,75,3,61,2.44,136,5.44,3.46,23,,,,,,,all_published_junglers_week_5,https://www.oneesports.gg/mobile-legends/stats-kairi-best-jungler-mpl-id/
10,Alter Ego,KidsZ,Jungler,regular_season_snapshot,Through Week 5,2022-09-13,7,5,,25,5,13,2.6,18,3.6,3.31,21,,,,,,,all_published_junglers_week_5,https://www.oneesports.gg/mobile-legends/stats-kairi-best-jungler-mpl-id/
10,Bigetron Alpha,MAXXX,Jungler,regular_season_snapshot,Through Week 5,2022-09-13,8,25,,59,2.36,47,1.88,90,3.6,3.17,22,,,,,,,all_published_junglers_week_5,https://www.oneesports.gg/mobile-legends/stats-kairi-best-jungler-mpl-id/
10,EVOS Legends,Ferxiic,Jungler,regular_season_snapshot,Through Week 5,2022-09-13,9,4,,11,2.75,12,3,23,5.75,2.83,24,,,,,,,all_published_junglers_week_5,https://www.oneesports.gg/mobile-legends/stats-kairi-best-jungler-mpl-id/
10,Geek Fam ID,Hanz,Jungler,regular_season_snapshot,Through Week 5,2022-09-13,10,5,,16,3.2,12,2.4,13,2.6,2.42,23,,,,,,,all_published_junglers_week_5,https://www.oneesports.gg/mobile-legends/stats-kairi-best-jungler-mpl-id/
