season,match_id,game_number,date,team_a,team_b,winner,duration_minutes,source
12,S12-RS-001,1,2023-07-13,Rebellion Zion,Alter Ego,Alter Ego,21.27,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_12/Regular_Season | https://www.oneesports.gg/mobile-legends/mpl-id-season-12-schedule-results/ | https://github.com/LiTianYeoh/MLBB_Tournament_Analysis/blob/94ea36800e80c9e89a2356a0b81d3eeafbd6a4f7/analysis/data/consolidated_game_data_20240505.csv
12,S12-RS-001,2,2023-07-13,Rebellion Zion,Alter Ego,Rebellion Zion,14.62,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_12/Regular_Season | https://www.oneesports.gg/mobile-legends/mpl-id-season-12-schedule-results/ | https://github.com/LiTianYeoh/MLBB_Tournament_Analysis/blob/94ea36800e80c9e89a2356a0b81d3eeafbd6a4f7/analysis/data/consolidated_game_data_20240505.csv
12,S12-RS-001,3,2023-07-13,Rebellion Zion,Alter Ego,Rebellion Zion,18.02,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_12/Regular_Season | https://www.oneesports.gg/mobile-legends/mpl-id-season-12-schedule-results/ | https://github.com/LiTianYeoh/MLBB_Tournament_Analysis/blob/94ea36800e80c9e89a2356a0b81d3eeafbd6a4f7/analysis/data/consolidated_game_data_20240505.csv
12,S12-RS-002,1,2023-07-13,AURA Fire,Dewa United Esports,Dewa United Esports,15.07,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_12/Regular_Season | https://www.oneesports.gg/mobile-legends/mpl-id-season-12-schedule-results/ | https://github.com/LiTianYeoh/MLBB_Tournament_Analysis/blob/94ea36800e80c9e89a2356a0b81d3eeafbd6a4f7/analysis/data/consolidated_game_data_20240505.csv
12,S12-RS-002,2,2023-07-13,AURA Fire,Dewa United Esports,AURA Fire,12.85,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_12/Regular_Season | https://www.oneesports.gg/mobile-legends/mpl-id-season-12-schedule-results/ | https://github.com/LiTianYeoh/MLBB_Tournament_Analysis/blob/94ea36800e80c9e89a2356a0b81d3eeafbd6a4f7/analysis/data/consolidated_game_data_20240505.csv
12,S12-RS-002,3,2023-07-13,AURA Fire,Dewa United Esports,Dewa United Esports,28.12,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_12/Regular_Season | https://www.oneesports.gg/mobile-legends/mpl-id-season-12-schedule-results/ | https://github.com/LiTianYeoh/MLBB_Tournament_Analysis/blob/94ea36800e80c9e89a2356a0b81d3eeafbd6a4f7/analysis/data/consolidated_game_data_20240505.csv
12,S12-RS-003,1,2023-07-14,AURA Fire,RRQ,RRQ,13.97,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_12/Regular_Season | https://www.oneesports.gg/mobile-legends/mpl-id-season-12-schedule-results/ | https://github.com/LiTianYeoh/MLBB_Tournament_Analysis/blob/94ea36800e80c9e89a2356a0b81d3eeafbd6a4f7/analysis/data/consolidated_game_data_20240505.csv
12,S12-RS-003,2,2023-07-14,AURA Fire,RRQ,RRQ,24.42,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_12/Regular_Season | https://www.oneesports.gg/mobile-legends/mpl-id-season-12-schedule-results/ | https://github.com/LiTianYeoh/MLBB_Tournament_Analysis/blob/94ea36800e80c9e89a2356a0b81d3eeafbd6a4f7/analysis/data/consolidated_game_data_20240505.csv
12,S12-RS-004,1,2023-07-14,Bigetron Alpha,Geek Fam ID,Bigetron Alpha,18.88,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_12/Regular_Season | https://www.oneesports.gg/mobile-legends/mpl-id-season-12-schedule-results/ | https://github.com/LiTianYeoh/MLBB_Tournament_Analysis/blob/94ea36800e80c9e89a2356a0b81d3eeafbd6a4f7/analysis/data/consolidated_game_data_20240505.csv
12,S12-RS-004,2,2023-07-14,Bigetron Alpha,Geek Fam ID,Geek Fam ID,22.93,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_12/Regular_Season | https://www.oneesports.gg/mobile-legends/mpl-id-season-12-schedule-results/ | https://github.com/LiTianYeoh/MLBB_Tournament_Analysis/blob/94ea36800e80c9e89a2356a0b81d3eeafbd6a4f7/analysis/data/consolidated_game_data_20240505.csv
12,S12-RS-004,3,2023-07-14,Bigetron Alpha,Geek Fam ID,Bigetron Alpha,11.05,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_12/Regular_Season | https://www.oneesports.gg/mobile-legends/mpl-id-season-12-schedule-results/ | https://github.com/LiTianYeoh/MLBB_Tournament_Analysis/blob/94ea36800e80c9e89a2356a0b81d3eeafbd6a4f7/analysis/data/consolidated_game_data_20240505.csv
12,S12-RS-005,1,2023-07-15,Alter Ego,Bigetron Alpha,Bigetron Alpha,12.05,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_12/Regular_Season | https://www.oneesports.gg/mobile-legends/mpl-id-season-12-schedule-results/ | https://github.com/LiTianYeoh/MLBB_Tournament_Analysis/blob/94ea36800e80c9e89a2356a0b81d3eeafbd6a4f7/analysis/data/consolidated_game_data_20240505.csv
12,S12-RS-005,2,2023-07-15,Alter Ego,Bigetron Alpha,Bigetron Alpha,14.23,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_12/Regular_Season | https://www.oneesports.gg/mobile-legends/mpl-id-season-12-schedule-results/ | https://github.com/LiTianYeoh/MLBB_Tournament_Analysis/blob/94ea36800e80c9e89a2356a0b81d3eeafbd6a4f7/analysis/data/consolidated_game_data_20240505.csv
12,S12-RS-006,1,2023-07-15,Dewa United Esports,Rebellion Zion,Rebellion Zion,23.35,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_12/Regular_Season | https://www.oneesports.gg/mobile-legends/mpl-id-season-12-schedule-results/ | https://github.com/LiTianYeoh/MLBB_Tournament_Analysis/blob/94ea36800e80c9e89a2356a0b81d3eeafbd6a4f7/analysis/data/consolidated_game_data_20240505.csv
12,S12-RS-006,2,2023-07-15,Dewa United Esports,Rebellion Zion,Dewa United Esports,21.17,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_12/Regular_Season | https://www.oneesports.gg/mobile-legends/mpl-id-season-12-schedule-results/ | https://github.com/LiTianYeoh/MLBB_Tournament_Analysis/blob/94ea36800e80c9e89a2356a0b81d3eeafbd6a4f7/analysis/data/consolidated_game_data_20240505.csv
12,S12-RS-006,3,2023-07-15,Dewa United Esports,Rebellion Zion,Dewa United Esports,17.1,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_12/Regular_Season | https://www.oneesports.gg/mobile-legends/mpl-id-season-12-schedule-results/ | https://github.com/LiTianYeoh/MLBB_Tournament_Analysis/blob/94ea36800e80c9e89a2356a0b81d3eeafbd6a4f7/analysis/data/consolidated_game_data_20240505.csv
12,S12-RS-007,1,2023-07-15,RRQ,ONIC Esports,ONIC Esports,14.47,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_12/Regular_Season | https://www.oneesports.gg/mobile-legends/mpl-id-season-12-schedule-results/ | https://github.com/LiTianYeoh/MLBB_Tournament_Analysis/blob/94ea36800e80c9e89a2356a0b81d3eeafbd6a4f7/analysis/data/consolidated_game_data_20240505.csv
12,S12-RS-007,2,2023-07-15,RRQ,ONIC Esports,RRQ,14.2,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_12/Regular_Season | https://www.oneesports.gg/mobile-legends/mpl-id-season-12-schedule-results/ | https://github.com/LiTianYeoh/MLBB_Tournament_Analysis/blob/94ea36800e80c9e89a2356a0b81d3eeafbd6a4f7/analysis/data/consolidated_game_data_20240505.csv
12,S12-RS-007,3,2023-07-15,RRQ,ONIC Esports,RRQ,23.6,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_12/Regular_Season | https://www.oneesports.gg/mobile-legends/mpl-id-season-12-schedule-results/ | https://github.com/LiTianYeoh/MLBB_Tournament_Analysis/blob/94ea36800e80c9e89a2356a0b81d3eeafbd6a4f7/analysis/data/consolidated_game_data_20240505.csv
12,S12-RS-008,1,2023-07-16,Geek Fam ID,ONIC Esports,ONIC Esports,27.83,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_12/Regular_Season | https://www.oneesports.gg/mobile-legends/mpl-id-season-12-schedule-results/ | https://github.com/LiTianYeoh/MLBB_Tournament_Analysis/blob/94ea36800e80c9e89a2356a0b81d3eeafbd6a4f7/analysis/data/consolidated_game_data_20240505.csv
12,S12-RS-008,2,2023-07-16,Geek Fam ID,ONIC Esports,ONIC Esports,24.55,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_12/Regular_Season | https://www.oneesports.gg/mobile-legends/mpl-id-season-12-schedule-results/ | https://github.com/LiTianYeoh/MLBB_Tournament_Analysis/blob/94ea36800e80c9e89a2356a0b81d3eeafbd6a4f7/analysis/data/consolidated_game_data_20240505.csv
12,S12-RS-009,1,2023-07-16,Rebellion Zion,RRQ,RRQ,14.72,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_12/Regular_Season | https://www.oneesports.gg/mobile-legends/mpl-id-season-12-schedule-results/ | https://github.com/LiTianYeoh/MLBB_Tournament_Analysis/blob/94ea36800e80c9e89a2356a0b81d3eeafbd6a4f7/analysis/data/consolidated_game_data_20240505.csv
12,S12-RS-009,2,2023-07-16,Rebellion Zion,RRQ,RRQ,26.98,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_12/Regular_Season | https://www.oneesports.gg/mobile-legends/mpl-id-season-12-schedule-results/ | https://github.com/LiTianYeoh/MLBB_Tournament_Analysis/blob/94ea36800e80c9e89a2356a0b81d3eeafbd6a4f7/analysis/data/consolidated_game_data_20240505.csv
12,S12-RS-010,1,2023-07-27,ONIC Esports,Alter Ego,ONIC Esports,14.02,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_12/Regular_Season | https://www.oneesports.gg/mobile-legends/mpl-id-season-12-schedule-results/ | https://github.com/LiTianYeoh/MLBB_Tournament_Analysis/blob/94ea36800e80c9e89a2356a0b81d3eeafbd6a4f7/analysis/data/consolidated_game_data_20240505.csv
12,S12-RS-010,2,2023-07-27,ONIC Esports,Alter Ego,ONIC Esports,21,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_12/Regular_Season | https://www.oneesports.gg/mobile-legends/mpl-id-season-12-schedule-results/ | https://github.com/LiTianYeoh/MLBB_Tournament_Analysis/blob/94ea36800e80c9e89a2356a0b81d3eeafbd6a4f7/analysis/data/consolidated_game_data_20240505.csv
