season,stage,week,date,match_id,team_a,team_b,team_a_score,team_b_score,winner,best_of,round,source
14,Regular Season,1,2024-08-09,S14-RS-001,Team Liquid ID,Fnatic ONIC,0,2,team_b,3,NULL,https://id-mpl.com/s14/history | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14 | https://huggingface.co/datasets/z4fL/mpl_s14_dataset/blob/main/mpl_id_s14.csv
14,Regular Season,1,2024-08-09,S14-RS-002,Dewa United Esports,EVOS Glory,2,1,team_a,3,NULL,https://id-mpl.com/s14/history | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14 | https://huggingface.co/datasets/z4fL/mpl_s14_dataset/blob/main/mpl_id_s14.csv
14,Regular Season,1,2024-08-10,S14-RS-003,Team Liquid ID,Bigetron Alpha,0,2,team_b,3,NULL,https://id-mpl.com/s14/history | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14 | https://huggingface.co/datasets/z4fL/mpl_s14_dataset/blob/main/mpl_id_s14.csv
14,Regular Season,1,2024-08-10,S14-RS-004,RRQ Hoshi,EVOS Glory,2,0,team_a,3,NULL,https://id-mpl.com/s14/history | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14 | https://huggingface.co/datasets/z4fL/mpl_s14_dataset/blob/main/mpl_id_s14.csv
14,Regular Season,1,2024-08-10,S14-RS-005,Geek Fam,Alter Ego Esports,1,2,team_b,3,NULL,https://id-mpl.com/s14/history | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14 | https://huggingface.co/datasets/z4fL/mpl_s14_dataset/blob/main/mpl_id_s14.csv
14,Regular Season,1,2024-08-11,S14-RS-006,Rebellion Esports,Fnatic ONIC,1,2,team_b,3,NULL,https://id-mpl.com/s14/history | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14 | https://huggingface.co/datasets/z4fL/mpl_s14_dataset/blob/main/mpl_id_s14.csv
14,Regular Season,1,2024-08-11,S14-RS-007,RRQ Hoshi,Bigetron Alpha,1,2,team_b,3,NULL,https://id-mpl.com/s14/history | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14 | https://huggingface.co/datasets/z4fL/mpl_s14_dataset/blob/main/mpl_id_s14.csv
14,Regular Season,1,2024-08-11,S14-RS-008,Geek Fam,Dewa United Esports,0,2,team_b,3,NULL,https://id-mpl.com/s14/history | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14 | https://huggingface.co/datasets/z4fL/mpl_s14_dataset/blob/main/mpl_id_s14.csv
14,Regular Season,2,2024-08-16,S14-RS-009,Rebellion Esports,RRQ Hoshi,0,2,team_b,3,NULL,https://id-mpl.com/s14/history | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14 | https://huggingface.co/datasets/z4fL/mpl_s14_dataset/blob/main/mpl_id_s14.csv
14,Regular Season,2,2024-08-16,S14-RS-010,EVOS Glory,Team Liquid ID,1,2,team_b,3,NULL,https://id-mpl.com/s14/history | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14 | https://huggingface.co/datasets/z4fL/mpl_s14_dataset/blob/main/mpl_id_s14.csv
14,Regular Season,2,2024-08-17,S14-RS-011,Bigetron Alpha,Alter Ego Esports,2,0,team_a,3,NULL,https://id-mpl.com/s14/history | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14 | https://huggingface.co/datasets/z4fL/mpl_s14_dataset/blob/main/mpl_id_s14.csv
14,Regular Season,2,2024-08-17,S14-RS-012,Fnatic ONIC,RRQ Hoshi,0,2,team_b,3,NULL,https://id-mpl.com/s14/history | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14 | https://huggingface.co/datasets/z4fL/mpl_s14_dataset/blob/main/mpl_id_s14.csv
14,Regular Season,2,2024-08-17,S14-RS-013,Geek Fam,EVOS Glory,2,1,team_a,3,NULL,https://id-mpl.com/s14/history | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14 | https://huggingface.co/datasets/z4fL/mpl_s14_dataset/blob/main/mpl_id_s14.csv
14,Regular Season,2,2024-08-18,S14-RS-014,Dewa United Esports,Bigetron Alpha,0,2,team_b,3,NULL,https://id-mpl.com/s14/history | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14 | https://huggingface.co/datasets/z4fL/mpl_s14_dataset/blob/main/mpl_id_s14.csv
14,Regular Season,2,2024-08-18,S14-RS-015,Fnatic ONIC,Alter Ego Esports,2,0,team_a,3,NULL,https://id-mpl.com/s14/history | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14 | https://huggingface.co/datasets/z4fL/mpl_s14_dataset/blob/main/mpl_id_s14.csv
14,Regular Season,2,2024-08-18,S14-RS-016,Team Liquid ID,Rebellion Esports,2,0,team_a,3,NULL,https://id-mpl.com/s14/history | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14 | https://huggingface.co/datasets/z4fL/mpl_s14_dataset/blob/main/mpl_id_s14.csv
14,Regular Season,3,2024-08-23,S14-RS-017,Fnatic ONIC,Geek Fam,1,2,team_b,3,NULL,https://id-mpl.com/s14/history | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14 | https://huggingface.co/datasets/z4fL/mpl_s14_dataset/blob/main/mpl_id_s14.csv
14,Regular Season,3,2024-08-23,S14-RS-018,Dewa United Esports,Rebellion Esports,2,0,team_a,3,NULL,https://id-mpl.com/s14/history | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14 | https://huggingface.co/datasets/z4fL/mpl_s14_dataset/blob/main/mpl_id_s14.csv
14,Regular Season,3,2024-08-24,S14-RS-019,Geek Fam,Bigetron Alpha,2,1,team_a,3,NULL,https://id-mpl.com/s14/history | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14 | https://huggingface.co/datasets/z4fL/mpl_s14_dataset/blob/main/mpl_id_s14.csv
14,Regular Season,3,2024-08-24,S14-RS-020,EVOS Glory,Alter Ego Esports,2,1,team_a,3,NULL,https://id-mpl.com/s14/history | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14 | https://huggingface.co/datasets/z4fL/mpl_s14_dataset/blob/main/mpl_id_s14.csv
14,Regular Season,3,2024-08-24,S14-RS-021,Dewa United Esports,Team Liquid ID,0,2,team_b,3,NULL,https://id-mpl.com/s14/history | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14 | https://huggingface.co/datasets/z4fL/mpl_s14_dataset/blob/main/mpl_id_s14.csv
14,Regular Season,3,2024-08-25,S14-RS-022,Rebellion Esports,Alter Ego Esports,1,2,team_b,3,NULL,https://id-mpl.com/s14/history | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14 | https://huggingface.co/datasets/z4fL/mpl_s14_dataset/blob/main/mpl_id_s14.csv
14,Regular Season,3,2024-08-25,S14-RS-023,Team Liquid ID,RRQ Hoshi,0,2,team_b,3,NULL,https://id-mpl.com/s14/history | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14 | https://huggingface.co/datasets/z4fL/mpl_s14_dataset/blob/main/mpl_id_s14.csv
14,Regular Season,3,2024-08-25,S14-RS-024,Bigetron Alpha,EVOS Glory,2,1,team_a,3,NULL,https://id-mpl.com/s14/history | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14 | https://huggingface.co/datasets/z4fL/mpl_s14_dataset/blob/main/mpl_id_s14.csv
14,Regular Season,4,2024-08-30,S14-RS-025,Fnatic ONIC,Dewa United Esports,2,1,team_a,3,NULL,https://id-mpl.com/s14/history | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14 | https://huggingface.co/datasets/z4fL/mpl_s14_dataset/blob/main/mpl_id_s14.csv
14,Regular Season,4,2024-08-30,S14-RS-026,Bigetron Alpha,Rebellion Esports,2,1,team_a,3,NULL,https://id-mpl.com/s14/history | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14 | https://huggingface.co/datasets/z4fL/mpl_s14_dataset/blob/main/mpl_id_s14.csv
14,Regular Season,4,2024-08-31,S14-RS-027,Geek Fam,Team Liquid ID,1,2,team_b,3,NULL,https://id-mpl.com/s14/history | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14 | https://huggingface.co/datasets/z4fL/mpl_s14_dataset/blob/main/mpl_id_s14.csv
14,Regular Season,4,2024-08-31,S14-RS-028,Bigetron Alpha,Fnatic ONIC,1,2,team_b,3,NULL,https://id-mpl.com/s14/history | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14 | https://huggingface.co/datasets/z4fL/mpl_s14_dataset/blob/main/mpl_id_s14.csv
14,Regular Season,4,2024-08-31,S14-RS-029,Alter Ego Esports,RRQ Hoshi,1,2,team_b,3,NULL,https://id-mpl.com/s14/history | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14 | https://huggingface.co/datasets/z4fL/mpl_s14_dataset/blob/main/mpl_id_s14.csv
14,Regular Season,4,2024-09-01,S14-RS-030,Rebellion Esports,EVOS Glory,2,0,team_a,3,NULL,https://id-mpl.com/s14/history | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14 | https://huggingface.co/datasets/z4fL/mpl_s14_dataset/blob/main/mpl_id_s14.csv
14,Regular Season,4,2024-09-01,S14-RS-031,Geek Fam,RRQ Hoshi,1,2,team_b,3,NULL,https://id-mpl.com/s14/history | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14 | https://huggingface.co/datasets/z4fL/mpl_s14_dataset/blob/main/mpl_id_s14.csv
14,Regular Season,4,2024-09-01,S14-RS-032,Alter Ego Esports,Dewa United Esports,2,0,team_a,3,NULL,https://id-mpl.com/s14/history | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14 | https://huggingface.co/datasets/z4fL/mpl_s14_dataset/blob/main/mpl_id_s14.csv
14,Regular Season,5,2024-09-06,S14-RS-033,Geek Fam,Rebellion Esports,2,0,team_a,3,NULL,https://id-mpl.com/s14/history | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14 | https://huggingface.co/datasets/z4fL/mpl_s14_dataset/blob/main/mpl_id_s14.csv
14,Regular Season,5,2024-09-06,S14-RS-034,EVOS Glory,Fnatic ONIC,0,2,team_b,3,NULL,https://id-mpl.com/s14/history | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14 | https://huggingface.co/datasets/z4fL/mpl_s14_dataset/blob/main/mpl_id_s14.csv
14,Regular Season,5,2024-09-07,S14-RS-035,Dewa United Esports,RRQ Hoshi,1,2,team_b,3,NULL,https://id-mpl.com/s14/history | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14 | https://huggingface.co/datasets/z4fL/mpl_s14_dataset/blob/main/mpl_id_s14.csv
14,Regular Season,5,2024-09-07,S14-RS-036,Alter Ego Esports,Team Liquid ID,0,2,team_b,3,NULL,https://id-mpl.com/s14/history | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14 | https://huggingface.co/datasets/z4fL/mpl_s14_dataset/blob/main/mpl_id_s14.csv
14,Regular Season,5,2024-09-07,S14-RS-037,Bigetron Alpha,EVOS Glory,2,0,team_a,3,NULL,https://id-mpl.com/s14/history | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14 | https://huggingface.co/datasets/z4fL/mpl_s14_dataset/blob/main/mpl_id_s14.csv
14,Regular Season,5,2024-09-08,S14-RS-038,Alter Ego Esports,Rebellion Esports,2,0,team_a,3,NULL,https://id-mpl.com/s14/history | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14 | https://huggingface.co/datasets/z4fL/mpl_s14_dataset/blob/main/mpl_id_s14.csv
14,Regular Season,5,2024-09-08,S14-RS-039,Geek Fam,Fnatic ONIC,2,0,team_a,3,NULL,https://id-mpl.com/s14/history | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14 | https://huggingface.co/datasets/z4fL/mpl_s14_dataset/blob/main/mpl_id_s14.csv
14,Regular Season,5,2024-09-08,S14-RS-040,Dewa United Esports,Team Liquid ID,1,2,team_b,3,NULL,https://id-mpl.com/s14/history | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14 | https://huggingface.co/datasets/z4fL/mpl_s14_dataset/blob/main/mpl_id_s14.csv
14,Regular Season,6,2024-09-13,S14-RS-041,Bigetron Alpha,Dewa United Esports,2,1,team_a,3,NULL,https://id-mpl.com/s14/history | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14 | https://huggingface.co/datasets/z4fL/mpl_s14_dataset/blob/main/mpl_id_s14.csv
14,Regular Season,6,2024-09-13,S14-RS-042,Rebellion Esports,Team Liquid ID,1,2,team_b,3,NULL,https://id-mpl.com/s14/history | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14 | https://huggingface.co/datasets/z4fL/mpl_s14_dataset/blob/main/mpl_id_s14.csv
14,Regular Season,6,2024-09-14,S14-RS-043,EVOS Glory,Dewa United Esports,0,2,team_b,3,NULL,https://id-mpl.com/s14/history | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14 | https://huggingface.co/datasets/z4fL/mpl_s14_dataset/blob/main/mpl_id_s14.csv
14,Regular Season,6,2024-09-14,S14-RS-044,Alter Ego Esports,Geek Fam,1,2,team_b,3,NULL,https://id-mpl.com/s14/history | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14 | https://huggingface.co/datasets/z4fL/mpl_s14_dataset/blob/main/mpl_id_s14.csv
14,Regular Season,6,2024-09-14,S14-RS-045,RRQ Hoshi,Fnatic ONIC,2,0,team_a,3,NULL,https://id-mpl.com/s14/history | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14 | https://huggingface.co/datasets/z4fL/mpl_s14_dataset/blob/main/mpl_id_s14.csv
14,Regular Season,6,2024-09-15,S14-RS-046,Alter Ego Esports,EVOS Glory,2,0,team_a,3,NULL,https://id-mpl.com/s14/history | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14 | https://huggingface.co/datasets/z4fL/mpl_s14_dataset/blob/main/mpl_id_s14.csv
14,Regular Season,6,2024-09-15,S14-RS-047,Team Liquid ID,Fnatic ONIC,2,0,team_a,3,NULL,https://id-mpl.com/s14/history | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14 | https://huggingface.co/datasets/z4fL/mpl_s14_dataset/blob/main/mpl_id_s14.csv
14,Regular Season,6,2024-09-15,S14-RS-048,Bigetron Alpha,RRQ Hoshi,1,2,team_b,3,NULL,https://id-mpl.com/s14/history | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14 | https://huggingface.co/datasets/z4fL/mpl_s14_dataset/blob/main/mpl_id_s14.csv
14,Regular Season,7,2024-09-20,S14-RS-049,Geek Fam,Dewa United Esports,2,0,team_a,3,NULL,https://id-mpl.com/s14/history | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14 | https://huggingface.co/datasets/z4fL/mpl_s14_dataset/blob/main/mpl_id_s14.csv
14,Regular Season,7,2024-09-20,S14-RS-050,Team Liquid ID,Bigetron Alpha,2,0,team_a,3,NULL,https://id-mpl.com/s14/history | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14 | https://huggingface.co/datasets/z4fL/mpl_s14_dataset/blob/main/mpl_id_s14.csv
14,Regular Season,7,2024-09-21,S14-RS-051,Alter Ego Esports,Dewa United Esports,0,2,team_b,3,NULL,https://id-mpl.com/s14/history | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14 | https://huggingface.co/datasets/z4fL/mpl_s14_dataset/blob/main/mpl_id_s14.csv
14,Regular Season,7,2024-09-21,S14-RS-052,RRQ Hoshi,EVOS Glory,1,2,team_b,3,NULL,https://id-mpl.com/s14/history | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14 | https://huggingface.co/datasets/z4fL/mpl_s14_dataset/blob/main/mpl_id_s14.csv
14,Regular Season,7,2024-09-21,S14-RS-053,Rebellion Esports,Fnatic ONIC,2,0,team_a,3,NULL,https://id-mpl.com/s14/history | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14 | https://huggingface.co/datasets/z4fL/mpl_s14_dataset/blob/main/mpl_id_s14.csv
14,Regular Season,7,2024-09-22,S14-RS-054,RRQ Hoshi,Geek Fam,2,0,team_a,3,NULL,https://id-mpl.com/s14/history | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14 | https://huggingface.co/datasets/z4fL/mpl_s14_dataset/blob/main/mpl_id_s14.csv
14,Regular Season,7,2024-09-22,S14-RS-055,Rebellion Esports,Bigetron Alpha,0,2,team_b,3,NULL,https://id-mpl.com/s14/history | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14 | https://huggingface.co/datasets/z4fL/mpl_s14_dataset/blob/main/mpl_id_s14.csv
