season,team,player,role,status,source
14,Alter Ego Esports,Nino,EXP Lane,ROSTERED_IN_SEASON,https://id-mpl.com/s14/team/ae | https://www.gosugamers.net/mobile-legends/features/72471-mpl-indonesia-season-14-official-team-roster
14,Alter Ego Esports,HAIZZ,Gold Lane,ROSTERED_IN_SEASON,https://id-mpl.com/s14/team/ae | https://www.gosugamers.net/mobile-legends/features/72471-mpl-indonesia-season-14-official-team-roster
14,Alter Ego Esports,Nnael,Jungler,ROSTERED_IN_SEASON,https://id-mpl.com/s14/team/ae | https://www.gosugamers.net/mobile-legends/features/72471-mpl-indonesia-season-14-official-team-roster
14,Alter Ego Esports,RoundeL,Mid Lane,ROSTERED_IN_SEASON,https://id-mpl.com/s14/team/ae | https://www.gosugamers.net/mobile-legends/features/72471-mpl-indonesia-season-14-official-team-roster
14,Alter Ego Esports,OWEN,Roamer,ROSTERED_IN_SEASON,https://id-mpl.com/s14/team/ae | https://www.gosugamers.net/mobile-legends/features/72471-mpl-indonesia-season-14-official-team-roster
14,Alter Ego Esports,Gebe,Jungler,ROSTERED_IN_SEASON,https://id-mpl.com/s14/team/ae | https://www.gosugamers.net/mobile-legends/features/72471-mpl-indonesia-season-14-official-team-roster
14,Bigetron Alpha,KYY,Roamer,ROSTERED_IN_SEASON,https://id-mpl.com/s14/team/btr | https://www.gosugamers.net/mobile-legends/features/72471-mpl-indonesia-season-14-official-team-roster
14,Bigetron Alpha,MORENO,Mid Lane,ROSTERED_IN_SEASON,https://id-mpl.com/s14/team/btr | https://www.gosugamers.net/mobile-legends/features/72471-mpl-indonesia-season-14-official-team-roster
14,Bigetron Alpha,Super Kenn,Jungler,ROSTERED_IN_SEASON,https://id-mpl.com/s14/team/btr | https://www.gosugamers.net/mobile-legends/features/72471-mpl-indonesia-season-14-official-team-roster
14,Bigetron Alpha,EMANN,Gold Lane,ROSTERED_IN_SEASON,https://id-mpl.com/s14/team/btr | https://www.gosugamers.net/mobile-legends/features/72471-mpl-indonesia-season-14-official-team-roster
14,Bigetron Alpha,Super Luke,EXP Lane,ROSTERED_IN_SEASON,https://id-mpl.com/s14/team/btr | https://www.gosugamers.net/mobile-legends/features/72471-mpl-indonesia-season-14-official-team-roster
14,Bigetron Alpha,Finn,Roamer,ROSTERED_IN_SEASON,https://id-mpl.com/s14/team/btr | https://www.gosugamers.net/mobile-legends/features/72471-mpl-indonesia-season-14-official-team-roster
14,Dewa United Esports,WATT,Gold Lane,ROSTERED_IN_SEASON,https://id-mpl.com/s14/team/dewa | https://www.gosugamers.net/mobile-legends/features/72471-mpl-indonesia-season-14-official-team-roster
14,Dewa United Esports,Reyy,Jungler,ROSTERED_IN_SEASON,https://id-mpl.com/s14/team/dewa | https://www.gosugamers.net/mobile-legends/features/72471-mpl-indonesia-season-14-official-team-roster
14,Dewa United Esports,Azuraa,Gold Lane,ROSTERED_IN_SEASON,https://id-mpl.com/s14/team/dewa | https://www.gosugamers.net/mobile-legends/features/72471-mpl-indonesia-season-14-official-team-roster
14,Dewa United Esports,Xorizo,EXP Lane,ROSTERED_IN_SEASON,https://id-mpl.com/s14/team/dewa | https://www.gosugamers.net/mobile-legends/features/72471-mpl-indonesia-season-14-official-team-roster
14,Dewa United Esports,Hijume,Mid Lane,ROSTERED_IN_SEASON,https://id-mpl.com/s14/team/dewa | https://www.gosugamers.net/mobile-legends/features/72471-mpl-indonesia-season-14-official-team-roster
