season,stage,week,date,match_id,team_a,team_b,team_a_score,team_b_score,winner,best_of,round,source
16,Regular Season,1,2025-08-22,S16-RS-001,ONIC,Dewa United Esports,2,0,team_a,3,NULL,https://id-mpl.com/s16/en/history | https://id-mpl.com/s16/en/team/onic | https://id-mpl.com/s16/en/team/dewa | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_16
16,Regular Season,1,2025-08-22,S16-RS-002,NAVI,EVOS,0,2,team_b,3,NULL,https://id-mpl.com/s16/en/history | https://id-mpl.com/s16/en/team/navi | https://id-mpl.com/s16/en/team/evos | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_16
16,Regular Season,1,2025-08-23,S16-RS-003,Team Liquid ID,Geek Fam,1,2,team_b,3,NULL,https://id-mpl.com/s16/en/history | https://id-mpl.com/s16/en/team/tlid | https://id-mpl.com/s16/en/team/geek | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_16
16,Regular Season,1,2025-08-23,S16-RS-004,ONIC,Bigetron by Vitality,2,0,team_a,3,NULL,https://id-mpl.com/s16/en/history | https://id-mpl.com/s16/en/team/onic | https://id-mpl.com/s16/en/team/btr | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_16
16,Regular Season,1,2025-08-23,S16-RS-005,RRQ Hoshi,Alter Ego Esports,2,1,team_a,3,NULL,https://id-mpl.com/s16/en/history | https://id-mpl.com/s16/en/team/rrq | https://id-mpl.com/s16/en/team/ae | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_16
16,Regular Season,1,2025-08-24,S16-RS-006,Bigetron by Vitality,NAVI,1,2,team_b,3,NULL,https://id-mpl.com/s16/en/history | https://id-mpl.com/s16/en/team/btr | https://id-mpl.com/s16/en/team/navi | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_16
16,Regular Season,1,2025-08-24,S16-RS-007,Geek Fam,RRQ Hoshi,2,0,team_a,3,NULL,https://id-mpl.com/s16/en/history | https://id-mpl.com/s16/en/team/geek | https://id-mpl.com/s16/en/team/rrq | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_16
16,Regular Season,1,2025-08-24,S16-RS-008,Alter Ego Esports,Dewa United Esports,2,0,team_a,3,NULL,https://id-mpl.com/s16/en/history | https://id-mpl.com/s16/en/team/ae | https://id-mpl.com/s16/en/team/dewa | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_16
16,Regular Season,2,2025-08-29,S16-RS-009,ONIC,Geek Fam,2,0,team_a,3,NULL,https://id-mpl.com/s16/en/history | https://id-mpl.com/s16/en/team/onic | https://id-mpl.com/s16/en/team/geek | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_16
16,Regular Season,2,2025-08-29,S16-RS-010,Dewa United Esports,NAVI,2,0,team_a,3,NULL,https://id-mpl.com/s16/en/history | https://id-mpl.com/s16/en/team/dewa | https://id-mpl.com/s16/en/team/navi | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_16
16,Regular Season,2,2025-08-30,S16-RS-011,Geek Fam,Bigetron by Vitality,0,2,team_b,3,NULL,https://id-mpl.com/s16/en/history | https://id-mpl.com/s16/en/team/geek | https://id-mpl.com/s16/en/team/btr | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_16
16,Regular Season,2,2025-08-30,S16-RS-012,Alter Ego Esports,EVOS,2,1,team_a,3,NULL,https://id-mpl.com/s16/en/history | https://id-mpl.com/s16/en/team/ae | https://id-mpl.com/s16/en/team/evos | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_16
16,Regular Season,2,2025-08-30,S16-RS-013,Team Liquid ID,Dewa United Esports,1,2,team_b,3,NULL,https://id-mpl.com/s16/en/history | https://id-mpl.com/s16/en/team/tlid | https://id-mpl.com/s16/en/team/dewa | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_16
16,Regular Season,2,2025-08-31,S16-RS-014,NAVI,Alter Ego Esports,2,0,team_a,3,NULL,https://id-mpl.com/s16/en/history | https://id-mpl.com/s16/en/team/navi | https://id-mpl.com/s16/en/team/ae | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_16
16,Regular Season,2,2025-08-31,S16-RS-015,RRQ Hoshi,Team Liquid ID,2,0,team_a,3,NULL,https://id-mpl.com/s16/en/history | https://id-mpl.com/s16/en/team/rrq | https://id-mpl.com/s16/en/team/tlid | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_16
16,Regular Season,2,2025-08-31,S16-RS-016,Bigetron by Vitality,EVOS,2,1,team_a,3,NULL,https://id-mpl.com/s16/en/history | https://id-mpl.com/s16/en/team/btr | https://id-mpl.com/s16/en/team/evos | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_16
16,Regular Season,3,2025-09-05,S16-RS-017,NAVI,RRQ Hoshi,0,2,team_b,3,NULL,https://id-mpl.com/s16/en/history | https://id-mpl.com/s16/en/team/navi | https://id-mpl.com/s16/en/team/rrq | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_16
16,Regular Season,3,2025-09-05,S16-RS-018,EVOS,Team Liquid ID,2,0,team_a,3,NULL,https://id-mpl.com/s16/en/history | https://id-mpl.com/s16/en/team/evos | https://id-mpl.com/s16/en/team/tlid | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_16
16,Regular Season,3,2025-09-06,S16-RS-019,EVOS,Geek Fam,2,0,team_a,3,NULL,https://id-mpl.com/s16/en/history | https://id-mpl.com/s16/en/team/evos | https://id-mpl.com/s16/en/team/geek | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_16
16,Regular Season,3,2025-09-06,S16-RS-020,Bigetron by Vitality,Alter Ego Esports,2,1,team_a,3,NULL,https://id-mpl.com/s16/en/history | https://id-mpl.com/s16/en/team/btr | https://id-mpl.com/s16/en/team/ae | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_16
16,Regular Season,3,2025-09-06,S16-RS-021,RRQ Hoshi,ONIC,0,2,team_b,3,NULL,https://id-mpl.com/s16/en/history | https://id-mpl.com/s16/en/team/rrq | https://id-mpl.com/s16/en/team/onic | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_16
16,Regular Season,3,2025-09-07,S16-RS-022,Dewa United Esports,Bigetron by Vitality,1,2,team_b,3,NULL,https://id-mpl.com/s16/en/history | https://id-mpl.com/s16/en/team/dewa | https://id-mpl.com/s16/en/team/btr | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_16
16,Regular Season,3,2025-09-07,S16-RS-023,Alter Ego Esports,ONIC,1,2,team_b,3,NULL,https://id-mpl.com/s16/en/history | https://id-mpl.com/s16/en/team/ae | https://id-mpl.com/s16/en/team/onic | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_16
16,Regular Season,3,2025-09-07,S16-RS-024,Team Liquid ID,NAVI,0,2,team_b,3,NULL,https://id-mpl.com/s16/en/history | https://id-mpl.com/s16/en/team/tlid | https://id-mpl.com/s16/en/team/navi | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_16
16,Regular Season,4,2025-09-12,S16-RS-025,NAVI,ONIC,1,2,team_b,3,NULL,https://id-mpl.com/s16/en/history | https://id-mpl.com/s16/en/team/navi | https://id-mpl.com/s16/en/team/onic | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_16
16,Regular Season,4,2025-09-12,S16-RS-026,EVOS,Dewa United Esports,2,0,team_a,3,NULL,https://id-mpl.com/s16/en/history | https://id-mpl.com/s16/en/team/evos | https://id-mpl.com/s16/en/team/dewa | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_16
16,Regular Season,4,2025-09-13,S16-RS-027,Team Liquid ID,Bigetron by Vitality,0,2,team_b,3,NULL,https://id-mpl.com/s16/en/history | https://id-mpl.com/s16/en/team/tlid | https://id-mpl.com/s16/en/team/btr | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_16
16,Regular Season,4,2025-09-13,S16-RS-028,RRQ Hoshi,EVOS,2,0,team_a,3,NULL,https://id-mpl.com/s16/en/history | https://id-mpl.com/s16/en/team/rrq | https://id-mpl.com/s16/en/team/evos | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_16
16,Regular Season,4,2025-09-13,S16-RS-029,Geek Fam,Alter Ego Esports,0,2,team_b,3,NULL,https://id-mpl.com/s16/en/history | https://id-mpl.com/s16/en/team/geek | https://id-mpl.com/s16/en/team/ae | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_16
16,Regular Season,4,2025-09-14,S16-RS-030,ONIC,Team Liquid ID,2,0,team_a,3,NULL,https://id-mpl.com/s16/en/history | https://id-mpl.com/s16/en/team/onic | https://id-mpl.com/s16/en/team/tlid | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_16
16,Regular Season,4,2025-09-14,S16-RS-031,Bigetron by Vitality,RRQ Hoshi,2,1,team_a,3,NULL,https://id-mpl.com/s16/en/history | https://id-mpl.com/s16/en/team/btr | https://id-mpl.com/s16/en/team/rrq | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_16
16,Regular Season,4,2025-09-14,S16-RS-032,Dewa United Esports,Geek Fam,2,1,team_a,3,NULL,https://id-mpl.com/s16/en/history | https://id-mpl.com/s16/en/team/dewa | https://id-mpl.com/s16/en/team/geek | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_16
16,Regular Season,5,2025-09-19,S16-RS-033,Geek Fam,NAVI,0,2,team_b,3,NULL,https://id-mpl.com/s16/en/history | https://id-mpl.com/s16/en/team/geek | https://id-mpl.com/s16/en/team/navi | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_16
16,Regular Season,5,2025-09-19,S16-RS-034,EVOS,ONIC,1,2,team_b,3,NULL,https://id-mpl.com/s16/en/history | https://id-mpl.com/s16/en/team/evos | https://id-mpl.com/s16/en/team/onic | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_16
16,Regular Season,5,2025-09-20,S16-RS-035,Dewa United Esports,RRQ Hoshi,2,0,team_a,3,NULL,https://id-mpl.com/s16/en/history | https://id-mpl.com/s16/en/team/dewa | https://id-mpl.com/s16/en/team/rrq | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_16
16,Regular Season,5,2025-09-20,S16-RS-036,Alter Ego Esports,Team Liquid ID,2,1,team_a,3,NULL,https://id-mpl.com/s16/en/history | https://id-mpl.com/s16/en/team/ae | https://id-mpl.com/s16/en/team/tlid | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_16
16,Regular Season,5,2025-09-20,S16-RS-037,EVOS,Bigetron by Vitality,0,2,team_b,3,NULL,https://id-mpl.com/s16/en/history | https://id-mpl.com/s16/en/team/evos | https://id-mpl.com/s16/en/team/btr | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_16
16,Regular Season,5,2025-09-21,S16-RS-038,Alter Ego Esports,NAVI,2,1,team_a,3,NULL,https://id-mpl.com/s16/en/history | https://id-mpl.com/s16/en/team/ae | https://id-mpl.com/s16/en/team/navi | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_16
16,Regular Season,5,2025-09-21,S16-RS-039,Geek Fam,ONIC,0,2,team_b,3,NULL,https://id-mpl.com/s16/en/history | https://id-mpl.com/s16/en/team/geek | https://id-mpl.com/s16/en/team/onic | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_16
16,Regular Season,5,2025-09-21,S16-RS-040,Dewa United Esports,Team Liquid ID,2,0,team_a,3,NULL,https://id-mpl.com/s16/en/history | https://id-mpl.com/s16/en/team/dewa | https://id-mpl.com/s16/en/team/tlid | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_16
16,Regular Season,6,2025-09-26,S16-RS-041,NAVI,Dewa United Esports,0,2,team_b,3,NULL,https://id-mpl.com/s16/en/history | https://id-mpl.com/s16/en/team/navi | https://id-mpl.com/s16/en/team/dewa | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_16
16,Regular Season,6,2025-09-26,S16-RS-042,Alter Ego Esports,Geek Fam,2,0,team_a,3,NULL,https://id-mpl.com/s16/en/history | https://id-mpl.com/s16/en/team/ae | https://id-mpl.com/s16/en/team/geek | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_16
16,Regular Season,6,2025-09-27,S16-RS-043,EVOS,Alter Ego Esports,1,2,team_b,3,NULL,https://id-mpl.com/s16/en/history | https://id-mpl.com/s16/en/team/evos | https://id-mpl.com/s16/en/team/ae | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_16
