season,team,final_rank,champion,runner_up,source
2,RRQ.O2,1,1,0,https://www.esportsearnings.com/tournaments/53508-mpl-indonesia-season-2
2,EVOS Esports,2,0,1,https://www.esportsearnings.com/tournaments/53508-mpl-indonesia-season-2
2,ONIC Esports,3,0,0,https://www.esportsearnings.com/tournaments/53508-mpl-indonesia-season-2
2,Louvre Esports,4,0,0,https://www.esportsearnings.com/tournaments/53508-mpl-indonesia-season-2
2,Aerowolf Roxy,5-6,0,0,https://www.esportsearnings.com/tournaments/53508-mpl-indonesia-season-2
2,Saints Indo,5-6,0,0,https://www.esportsearnings.com/tournaments/53508-mpl-indonesia-season-2
2,Bigetron Esports,7-8,0,0,https://www.esportsearnings.com/tournaments/53508-mpl-indonesia-season-2
2,SFI Esports,7-8,0,0,https://www.esportsearnings.com/tournaments/53508-mpl-indonesia-season-2
2,Boom JR,9-10,0,0,https://www.esportsearnings.com/tournaments/53508-mpl-indonesia-season-2
2,Team Capcorn,9-10,0,0,https://www.esportsearnings.com/tournaments/53508-mpl-indonesia-season-2
