season,match_id,game_number,date,team_a,team_b,winner,duration_minutes,source
2,S2-RS-001,1,2018-09-07,Bigetron Esports,Team Capcorn,Bigetron Esports,NULL,https://www.overclockingid.com/hasil-mpl-regular-season-2/
2,S2-RS-001,2,2018-09-07,Bigetron Esports,Team Capcorn,Bigetron Esports,NULL,https://www.overclockingid.com/hasil-mpl-regular-season-2/
2,S2-RS-002,1,2018-09-07,SFI Esports,RRQ.O2,RRQ.O2,NULL,https://www.overclockingid.com/hasil-mpl-regular-season-2/
2,S2-RS-002,2,2018-09-07,SFI Esports,RRQ.O2,RRQ.O2,NULL,https://www.overclockingid.com/hasil-mpl-regular-season-2/
2,S2-RS-003,1,2018-09-08,EVOS Esports,ONIC Esports,ONIC Esports,NULL,https://www.overclockingid.com/hasil-mpl-regular-season-2/
2,S2-RS-003,2,2018-09-08,EVOS Esports,ONIC Esports,ONIC Esports,NULL,https://www.overclockingid.com/hasil-mpl-regular-season-2/
2,S2-RS-004,1,2018-09-08,Aerowolf Roxy,Boom JR,Aerowolf Roxy,NULL,https://www.overclockingid.com/hasil-mpl-regular-season-2/
2,S2-RS-004,2,2018-09-08,Aerowolf Roxy,Boom JR,Aerowolf Roxy,NULL,https://www.overclockingid.com/hasil-mpl-regular-season-2/
2,S2-RS-005,1,2018-09-08,Saints Indo,Louvre Esports,Louvre Esports,NULL,https://www.overclockingid.com/hasil-mpl-regular-season-2/
2,S2-RS-005,2,2018-09-08,Saints Indo,Louvre Esports,Louvre Esports,NULL,https://www.overclockingid.com/hasil-mpl-regular-season-2/
2,S2-RS-006,1,2018-09-09,Boom JR,Bigetron Esports,Boom JR,NULL,https://www.overclockingid.com/hasil-mpl-regular-season-2/
2,S2-RS-006,2,2018-09-09,Boom JR,Bigetron Esports,Boom JR,NULL,https://www.overclockingid.com/hasil-mpl-regular-season-2/
2,S2-RS-007,1,2018-09-09,Louvre Esports,SFI Esports,NULL,NULL,https://www.overclockingid.com/hasil-mpl-regular-season-2/
2,S2-RS-007,2,2018-09-09,Louvre Esports,SFI Esports,NULL,NULL,https://www.overclockingid.com/hasil-mpl-regular-season-2/
2,S2-RS-007,3,2018-09-09,Louvre Esports,SFI Esports,NULL,NULL,https://www.overclockingid.com/hasil-mpl-regular-season-2/
2,S2-RS-008,1,2018-09-09,ONIC Esports,Aerowolf Roxy,NULL,NULL,https://www.overclockingid.com/hasil-mpl-regular-season-2/
2,S2-RS-008,2,2018-09-09,ONIC Esports,Aerowolf Roxy,NULL,NULL,https://www.overclockingid.com/hasil-mpl-regular-season-2/
2,S2-RS-008,3,2018-09-09,ONIC Esports,Aerowolf Roxy,NULL,NULL,https://www.overclockingid.com/hasil-mpl-regular-season-2/
2,S2-RS-009,1,2018-09-14,Aerowolf Roxy,RRQ.O2,NULL,NULL,https://www.overclockingid.com/hasil-mpl-regular-season-2/
2,S2-RS-009,2,2018-09-14,Aerowolf Roxy,RRQ.O2,NULL,NULL,https://www.overclockingid.com/hasil-mpl-regular-season-2/
2,S2-RS-009,3,2018-09-14,Aerowolf Roxy,RRQ.O2,NULL,NULL,https://www.overclockingid.com/hasil-mpl-regular-season-2/
2,S2-RS-010,1,2018-09-14,Team Capcorn,Saints Indo,Saints Indo,NULL,https://www.overclockingid.com/hasil-mpl-regular-season-2/
2,S2-RS-010,2,2018-09-14,Team Capcorn,Saints Indo,Saints Indo,NULL,https://www.overclockingid.com/hasil-mpl-regular-season-2/
2,S2-RS-011,1,2018-09-15,Bigetron Esports,ONIC Esports,ONIC Esports,NULL,https://www.overclockingid.com/hasil-mpl-regular-season-2/
2,S2-RS-011,2,2018-09-15,Bigetron Esports,ONIC Esports,ONIC Esports,NULL,https://www.overclockingid.com/hasil-mpl-regular-season-2/
2,S2-RS-012,1,2018-09-15,RRQ.O2,EVOS Esports,RRQ.O2,NULL,https://www.overclockingid.com/hasil-mpl-regular-season-2/
2,S2-RS-012,2,2018-09-15,RRQ.O2,EVOS Esports,RRQ.O2,NULL,https://www.overclockingid.com/hasil-mpl-regular-season-2/
2,S2-RS-013,1,2018-09-16,Saints Indo,SFI Esports,Saints Indo,NULL,https://www.overclockingid.com/hasil-mpl-regular-season-2/
2,S2-RS-013,2,2018-09-16,Saints Indo,SFI Esports,Saints Indo,NULL,https://www.overclockingid.com/hasil-mpl-regular-season-2/
2,S2-RS-014,1,2018-09-16,EVOS Esports,Louvre Esports,NULL,NULL,https://www.overclockingid.com/hasil-mpl-regular-season-2/
2,S2-RS-014,2,2018-09-16,EVOS Esports,Louvre Esports,NULL,NULL,https://www.overclockingid.com/hasil-mpl-regular-season-2/
2,S2-RS-014,3,2018-09-16,EVOS Esports,Louvre Esports,NULL,NULL,https://www.overclockingid.com/hasil-mpl-regular-season-2/
2,S2-RS-015,1,2018-09-16,Team Capcorn,Boom JR,NULL,NULL,https://www.overclockingid.com/hasil-mpl-regular-season-2/
2,S2-RS-015,2,2018-09-16,Team Capcorn,Boom JR,NULL,NULL,https://www.overclockingid.com/hasil-mpl-regular-season-2/
2,S2-RS-015,3,2018-09-16,Team Capcorn,Boom JR,NULL,NULL,https://www.overclockingid.com/hasil-mpl-regular-season-2/
