season,stage,week,date,match_id,team_a,team_b,team_a_score,team_b_score,winner,best_of,round,source
3,Regular Season,1,2019-02-16,S3-RS-001,Aerowolf Roxy,The Prime,2,0,team_a,3,NULL,https://kumparan.com/kumparantech/hasil-lengkap-pertandingan-mobile-legends-mpl-season-3-pekan-1-1550477100518199487
3,Regular Season,1,2019-02-16,S3-RS-002,SFI Critical,Star8 Esports,2,1,team_a,3,NULL,https://kumparan.com/kumparantech/hasil-lengkap-pertandingan-mobile-legends-mpl-season-3-pekan-1-1550477100518199487
3,Regular Season,1,2019-02-16,S3-RS-003,AURA Esports,Louvre Esports,2,0,team_a,3,NULL,https://kumparan.com/kumparantech/hasil-lengkap-pertandingan-mobile-legends-mpl-season-3-pekan-1-1550477100518199487
3,Regular Season,1,2019-02-16,S3-RS-004,PSG.RRQ,Bigetron Esports,2,0,team_a,3,NULL,https://kumparan.com/kumparantech/hasil-lengkap-pertandingan-mobile-legends-mpl-season-3-pekan-1-1550477100518199487
3,Regular Season,1,2019-02-16,S3-RS-005,EVOS Esports,Alter Ego,2,0,team_a,3,NULL,https://kumparan.com/kumparantech/hasil-lengkap-pertandingan-mobile-legends-mpl-season-3-pekan-1-1550477100518199487
3,Regular Season,1,2019-02-17,S3-RS-006,Saints Indo,ONIC Esports,0,2,team_b,3,NULL,https://kumparan.com/kumparantech/hasil-lengkap-pertandingan-mobile-legends-mpl-season-3-pekan-1-1550477100518199487
3,Regular Season,1,2019-02-17,S3-RS-007,Star8 Esports,Aerowolf Roxy,0,2,team_b,3,NULL,https://kumparan.com/kumparantech/hasil-lengkap-pertandingan-mobile-legends-mpl-season-3-pekan-1-1550477100518199487
3,Regular Season,1,2019-02-17,S3-RS-008,The Prime,Saints Indo,2,1,team_a,3,NULL,https://kumparan.com/kumparantech/hasil-lengkap-pertandingan-mobile-legends-mpl-season-3-pekan-1-1550477100518199487
3,Regular Season,1,2019-02-17,S3-RS-009,ONIC Esports,Alter Ego,2,0,team_a,3,NULL,https://kumparan.com/kumparantech/hasil-lengkap-pertandingan-mobile-legends-mpl-season-3-pekan-1-1550477100518199487
3,Regular Season,1,2019-02-17,S3-RS-010,Louvre Esports,SFI Critical,0,2,team_b,3,NULL,https://kumparan.com/kumparantech/hasil-lengkap-pertandingan-mobile-legends-mpl-season-3-pekan-1-1550477100518199487
3,Regular Season,2,2019-02-23,S3-RS-011,Bigetron Esports,AURA Esports,2,0,team_a,3,NULL,https://kumparan.com/kumparantech/hasil-lengkap-pertandingan-mobile-legends-mpl-season-3-pekan-2-1551326689397932761
3,Regular Season,2,2019-02-23,S3-RS-012,Aerowolf Roxy,Louvre Esports,2,1,team_a,3,NULL,https://kumparan.com/kumparantech/hasil-lengkap-pertandingan-mobile-legends-mpl-season-3-pekan-2-1551326689397932761
3,Regular Season,2,2019-02-23,S3-RS-013,AURA Esports,EVOS Esports,0,2,team_b,3,NULL,https://kumparan.com/kumparantech/hasil-lengkap-pertandingan-mobile-legends-mpl-season-3-pekan-2-1551326689397932761
3,Regular Season,2,2019-02-23,S3-RS-014,SFI Critical,Bigetron Esports,2,0,team_a,3,NULL,https://kumparan.com/kumparantech/hasil-lengkap-pertandingan-mobile-legends-mpl-season-3-pekan-2-1551326689397932761
3,Regular Season,2,2019-02-23,S3-RS-015,EVOS Esports,PSG.RRQ,0,2,team_b,3,NULL,https://kumparan.com/kumparantech/hasil-lengkap-pertandingan-mobile-legends-mpl-season-3-pekan-2-1551326689397932761
3,Regular Season,2,2019-02-24,S3-RS-016,ONIC Esports,The Prime,2,0,team_a,3,NULL,https://kumparan.com/kumparantech/hasil-lengkap-pertandingan-mobile-legends-mpl-season-3-pekan-2-1551326689397932761
3,Regular Season,2,2019-02-24,S3-RS-017,Saints Indo,Star8 Esports,0,2,team_b,3,NULL,https://kumparan.com/kumparantech/hasil-lengkap-pertandingan-mobile-legends-mpl-season-3-pekan-2-1551326689397932761
3,Regular Season,2,2019-02-24,S3-RS-018,Bigetron Esports,Aerowolf Roxy,0,2,team_b,3,NULL,https://kumparan.com/kumparantech/hasil-lengkap-pertandingan-mobile-legends-mpl-season-3-pekan-2-1551326689397932761
3,Regular Season,2,2019-02-24,S3-RS-019,Louvre Esports,Saints Indo,2,0,team_a,3,NULL,https://kumparan.com/kumparantech/hasil-lengkap-pertandingan-mobile-legends-mpl-season-3-pekan-2-1551326689397932761
3,Regular Season,2,2019-02-24,S3-RS-020,Alter Ego,PSG.RRQ,2,0,team_a,3,NULL,https://kumparan.com/kumparantech/hasil-lengkap-pertandingan-mobile-legends-mpl-season-3-pekan-2-1551326689397932761
3,Regular Season,3,2019-03-02,S3-RS-021,Star8 Esports,ONIC Esports,0,2,team_b,3,NULL,https://kumparan.com/kumparantech/hasil-lengkap-pertandingan-mobile-legends-mpl-season-3-pekan-3-1551873983634537294
3,Regular Season,3,2019-03-02,S3-RS-022,The Prime,Alter Ego,2,1,team_a,3,NULL,https://kumparan.com/kumparantech/hasil-lengkap-pertandingan-mobile-legends-mpl-season-3-pekan-3-1551873983634537294
3,Regular Season,3,2019-03-02,S3-RS-023,Louvre Esports,ONIC Esports,1,2,team_b,3,NULL,https://kumparan.com/kumparantech/hasil-lengkap-pertandingan-mobile-legends-mpl-season-3-pekan-3-1551873983634537294
3,Regular Season,3,2019-03-02,S3-RS-024,PSG.RRQ,AURA Esports,0,2,team_b,3,NULL,https://kumparan.com/kumparantech/hasil-lengkap-pertandingan-mobile-legends-mpl-season-3-pekan-3-1551873983634537294
3,Regular Season,3,2019-03-02,S3-RS-025,EVOS Esports,SFI Critical,0,2,team_b,3,NULL,https://kumparan.com/kumparantech/hasil-lengkap-pertandingan-mobile-legends-mpl-season-3-pekan-3-1551873983634537294
3,Regular Season,3,2019-03-03,S3-RS-026,Louvre Esports,The Prime,2,0,team_a,3,NULL,https://kumparan.com/kumparantech/hasil-lengkap-pertandingan-mobile-legends-mpl-season-3-pekan-3-1551873983634537294
3,Regular Season,3,2019-03-03,S3-RS-027,SFI Critical,PSG.RRQ,1,2,team_b,3,NULL,https://kumparan.com/kumparantech/hasil-lengkap-pertandingan-mobile-legends-mpl-season-3-pekan-3-1551873983634537294
3,Regular Season,3,2019-03-03,S3-RS-028,The Prime,Star8 Esports,0,2,team_b,3,NULL,https://kumparan.com/kumparantech/hasil-lengkap-pertandingan-mobile-legends-mpl-season-3-pekan-3-1551873983634537294
3,Regular Season,3,2019-03-03,S3-RS-029,Alter Ego,AURA Esports,2,0,team_a,3,NULL,https://kumparan.com/kumparantech/hasil-lengkap-pertandingan-mobile-legends-mpl-season-3-pekan-3-1551873983634537294
3,Regular Season,3,2019-03-03,S3-RS-030,Aerowolf Roxy,EVOS Esports,0,2,team_b,3,NULL,https://kumparan.com/kumparantech/hasil-lengkap-pertandingan-mobile-legends-mpl-season-3-pekan-3-1551873983634537294
3,Regular Season,4,2019-03-09,S3-RS-031,Star8 Esports,Alter Ego,0,2,team_b,3,NULL,https://kumparan.com/kumparantech/hasil-pertandingan-mpl-season-3-pekan-4-onic-masih-berjaya-1552303354576810712
