season,match_id,game_number,date,team_a,team_b,winner,duration_minutes,source
MPL Indonesia Season 4,MPLID-S04-RS-001,1,2019-08-23,Bigetron Esports,Alter Ego,Bigetron Esports,NULL,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_4/Regular_Season | https://id-mpl.com/s4/team/btr
MPL Indonesia Season 4,MPLID-S04-RS-001,2,2019-08-23,Bigetron Esports,Alter Ego,Bigetron Esports,NULL,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_4/Regular_Season | https://id-mpl.com/s4/team/btr
MPL Indonesia Season 4,MPLID-S04-RS-002,1,2019-08-23,AURA Fire,Genflix Aerowolf,NULL,NULL,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_4/Regular_Season | https://id-mpl.com/s4/team/gflx
MPL Indonesia Season 4,MPLID-S04-RS-002,2,2019-08-23,AURA Fire,Genflix Aerowolf,NULL,NULL,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_4/Regular_Season | https://id-mpl.com/s4/team/gflx
MPL Indonesia Season 4,MPLID-S04-RS-002,3,2019-08-23,AURA Fire,Genflix Aerowolf,NULL,NULL,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_4/Regular_Season | https://id-mpl.com/s4/team/gflx
MPL Indonesia Season 4,MPLID-S04-RS-003,1,2019-08-24,ONIC Esports,RRQ Hoshi,ONIC Esports,NULL,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_4/Regular_Season | https://id-mpl.com/s4/team/onic
MPL Indonesia Season 4,MPLID-S04-RS-003,2,2019-08-24,ONIC Esports,RRQ Hoshi,ONIC Esports,NULL,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_4/Regular_Season | https://id-mpl.com/s4/team/onic
MPL Indonesia Season 4,MPLID-S04-RS-004,1,2019-08-24,EVOS Legends,Geek Fam ID,NULL,NULL,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_4/Regular_Season | https://id-mpl.com/s4/team/evos
MPL Indonesia Season 4,MPLID-S04-RS-004,2,2019-08-24,EVOS Legends,Geek Fam ID,NULL,NULL,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_4/Regular_Season | https://id-mpl.com/s4/team/evos
MPL Indonesia Season 4,MPLID-S04-RS-004,3,2019-08-24,EVOS Legends,Geek Fam ID,NULL,NULL,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_4/Regular_Season | https://id-mpl.com/s4/team/evos
MPL Indonesia Season 4,MPLID-S04-RS-005,1,2019-08-24,Alter Ego,AURA Fire,AURA Fire,NULL,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_4/Regular_Season | https://id-mpl.com/s4/team/ae
