season,team,player,role,status,source
9,RRQ Hoshi,Aether,Jungler,PARTICIPATED,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_9 | https://id-mpl.com/s9/team/rrq | https://www.esportsearnings.com/tournaments/52163-mpl-indonesia-season-9 | https://www.oneesports.gg/mobile-legends/mpl-id-season-9-full-roster-team/
9,RRQ Hoshi,Alberttt,Jungler,PARTICIPATED,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_9 | https://id-mpl.com/s9/team/rrq | https://www.esportsearnings.com/tournaments/52163-mpl-indonesia-season-9 | https://www.oneesports.gg/mobile-legends/mpl-id-season-9-full-roster-team/
9,RRQ Hoshi,Clayyy,Midlane,PARTICIPATED,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_9 | https://id-mpl.com/s9/team/rrq | https://www.esportsearnings.com/tournaments/52163-mpl-indonesia-season-9 | https://www.oneesports.gg/mobile-legends/mpl-id-season-9-full-roster-team/
9,RRQ Hoshi,Justinnn,NULL,PARTICIPATED,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_9 | https://id-mpl.com/s9/team/rrq | https://www.esportsearnings.com/tournaments/52163-mpl-indonesia-season-9 | https://www.oneesports.gg/mobile-legends/mpl-id-season-9-full-roster-team/
9,RRQ Hoshi,Lemon,Midlane/Goldlane,PARTICIPATED,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_9 | https://id-mpl.com/s9/team/rrq | https://www.esportsearnings.com/tournaments/52163-mpl-indonesia-season-9 | https://www.oneesports.gg/mobile-legends/mpl-id-season-9-full-roster-team/
9,RRQ Hoshi,Psychoo,Tank/Midlane,PARTICIPATED,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_9 | https://id-mpl.com/s9/team/rrq | https://www.esportsearnings.com/tournaments/52163-mpl-indonesia-season-9 | https://www.oneesports.gg/mobile-legends/mpl-id-season-9-full-roster-team/
9,RRQ Hoshi,R7,Offlaner,PARTICIPATED,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_9 | https://id-mpl.com/s9/team/rrq | https://www.esportsearnings.com/tournaments/52163-mpl-indonesia-season-9 | https://www.oneesports.gg/mobile-legends/mpl-id-season-9-full-roster-team/
9,RRQ Hoshi,Skylar,Goldlane,PARTICIPATED,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_9 | https://id-mpl.com/s9/team/rrq | https://www.esportsearnings.com/tournaments/52163-mpl-indonesia-season-9 | https://www.oneesports.gg/mobile-legends/mpl-id-season-9-full-roster-team/
9,RRQ Hoshi,Violence,Tank,PARTICIPATED,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_9 | https://id-mpl.com/s9/team/rrq | https://www.esportsearnings.com/tournaments/52163-mpl-indonesia-season-9 | https://www.oneesports.gg/mobile-legends/mpl-id-season-9-full-roster-team/
9,RRQ Hoshi,VYN,Midlane/Support/Tank,PARTICIPATED,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_9 | https://id-mpl.com/s9/team/rrq | https://www.esportsearnings.com/tournaments/52163-mpl-indonesia-season-9 | https://www.oneesports.gg/mobile-legends/mpl-id-season-9-full-roster-team/
